Date,BTC-USD,ETH-USD,ADA-USD,BNB-USD
2022-03-14,39666.75390625,2590.696044921875,0.8039169907569885,373.4661560058594
2022-03-15,39338.78515625,2620.149658203125,0.8000059723854065,371.62884521484375
2022-03-16,41143.9296875,2772.0556640625,0.8383740186691284,385.5282287597656
2022-03-17,40951.37890625,2814.8544921875,0.8367840051651001,391.8247375488281
2022-03-18,41801.15625,2945.343017578125,0.8534330129623413,397.6455078125
2022-03-19,42190.65234375,2946.257080078125,0.9010990262031555,399.8535461425781
2022-03-20,41247.82421875,2860.459228515625,0.8770920038223267,390.76837158203125
2022-03-21,41077.99609375,2897.9765625,0.916782021522522,396.44781494140625
2022-03-22,42358.80859375,2973.131103515625,0.9764400124549866,404.31494140625
2022-03-23,42892.95703125,3031.067138671875,1.1074819564819336,408.6097717285156
2022-03-24,43960.93359375,3108.06201171875,1.130010962486267,414.1269836425781
2022-03-25,44348.73046875,3106.67138671875,1.0978879928588867,410.8111572265625
2022-03-26,44500.828125,3143.178955078125,1.1505939960479736,415.9197998046875
2022-03-27,46820.4921875,3291.57763671875,1.1821479797363281,430.5032653808594
2022-03-28,47128.00390625,3336.634521484375,1.1701840162277222,430.390869140625
2022-03-29,47465.73046875,3401.98779296875,1.1911120414733887,434.50567626953125
2022-03-30,47062.6640625,3385.157958984375,1.1903849840164185,442.6848449707031
2022-03-31,45538.67578125,3281.642822265625,1.1418509483337402,428.9161071777344
2022-04-01,46281.64453125,3449.55224609375,1.1654249429702759,446.6042785644531
2022-04-02,45868.94921875,3445.059326171875,1.1560070514678955,436.9553527832031
2022-04-03,46453.56640625,3522.83349609375,1.1859409809112549,450.348876953125
2022-04-04,46622.67578125,3521.2412109375,1.2129449844360352,447.5249328613281
2022-04-05,45555.9921875,3411.79248046875,1.170801043510437,445.172607421875
2022-04-06,43206.73828125,3171.69189453125,1.052770972251892,420.1463623046875
2022-04-07,43503.84765625,3233.274658203125,1.0918940305709839,436.7967834472656
2022-04-08,42287.6640625,3192.073974609375,1.0263259410858154,421.67724609375
2022-04-09,42782.13671875,3261.916259765625,1.0450149774551392,427.1530456542969
2022-04-10,42207.671875,3211.866943359375,1.0308849811553955,418.5906677246094
2022-04-11,39521.90234375,2981.05224609375,0.92044997215271,394.0868835449219
2022-04-12,40127.18359375,3030.37646484375,0.955145001411438,413.8739318847656
2022-04-13,41166.73046875,3118.34423828125,0.9746959805488586,423.1301574707031
2022-04-14,39935.515625,3019.909423828125,0.9324120283126831,414.6637268066406
2022-04-15,40553.46484375,3040.91650390625,0.9547169804573059,417.2937316894531
2022-04-16,40424.484375,3062.310302734375,0.9526399970054626,417.47845458984375
2022-04-17,39716.953125,2993.4033203125,0.9174659848213196,407.3777160644531
2022-04-18,40826.21484375,3057.606689453125,0.9367300271987915,416.9684143066406
2022-04-19,41502.75,3104.1064453125,0.9533330202102661,422.3870544433594
2022-04-20,41374.37890625,3077.745849609375,0.9373409748077393,418.354248046875
2022-04-21,40527.36328125,2987.480712890625,0.9104740023612976,405.0214538574219
2022-04-22,39740.3203125,2964.835693359375,0.9071540236473083,406.9875183105469
2022-04-23,39486.73046875,2938.114013671875,0.8885030150413513,401.6524658203125
2022-04-24,39469.29296875,2922.732666015625,0.8863499760627747,399.1053771972656
2022-04-25,40458.30859375,3009.3935546875,0.8986949920654297,404.35028076171875
2022-04-26,38117.4609375,2808.29833984375,0.8276450037956238,385.4830627441406
2022-04-27,39241.12109375,2888.9296875,0.840595006942749,391.4458312988281
2022-04-28,39773.828125,2936.94091796875,0.8439499735832214,406.71820068359375
2022-04-29,38609.82421875,2815.601806640625,0.8050429821014404,393.0621643066406
2022-04-30,37714.875,2730.186767578125,0.756659984588623,377.767822265625
2022-05-01,38469.09375,2827.756103515625,0.7903439998626709,390.281982421875
2022-05-02,38529.328125,2857.410400390625,0.7815290093421936,389.670654296875
2022-05-03,37750.453125,2783.476318359375,0.7711449861526489,383.4757995605469
2022-05-04,39698.37109375,2940.644775390625,0.8969420194625854,402.5026550292969
2022-05-05,36575.140625,2749.213134765625,0.7911520004272461,378.77362060546875
2022-05-06,36040.921875,2694.979736328125,0.7833589911460876,379.3042907714844
2022-05-07,35501.953125,2636.093017578125,0.7618820071220398,365.6841125488281
2022-05-08,34059.265625,2517.4599609375,0.73956298828125,355.39874267578125
2022-05-09,30296.953125,2245.430419921875,0.6100879907608032,299.34893798828125
2022-05-10,31022.90625,2343.510986328125,0.6289629936218262,319.32696533203125
2022-05-11,28936.35546875,2072.108642578125,0.5127999782562256,269.9627685546875
2022-05-12,29047.751953125,1961.7015380859375,0.47374600172042847,269.4072570800781
2022-05-13,29283.103515625,2014.418212890625,0.5288770198822021,290.5841979980469
2022-05-14,30101.265625,2056.27392578125,0.5393580198287964,297.3876037597656
2022-05-15,31305.11328125,2145.706787109375,0.5975000262260437,312.0077209472656
2022-05-16,29862.91796875,2022.7259521484375,0.5567160248756409,297.7101135253906
2022-05-17,30425.857421875,2090.4091796875,0.5780770182609558,305.96343994140625
2022-05-18,28720.271484375,1916.6561279296875,0.5056149959564209,287.43878173828125
2022-05-19,30314.333984375,2018.336181640625,0.5333210229873657,306.79156494140625
2022-05-20,29200.740234375,1961.315673828125,0.5179070234298706,302.3592224121094
2022-05-21,29432.2265625,1974.518310546875,0.5283139944076538,312.4660339355469
2022-05-22,30323.72265625,2043.170166015625,0.5426179766654968,319.6090087890625
2022-05-23,29098.91015625,1972.181884765625,0.5126050114631653,316.76055908203125
2022-05-24,29655.5859375,1978.9827880859375,0.5212240219116211,328.1893310546875
2022-05-25,29562.361328125,1944.827880859375,0.5138769745826721,325.73480224609375
2022-05-26,29267.224609375,1803.913330078125,0.48088300228118896,304.96392822265625
2022-05-27,28627.57421875,1724.9228515625,0.4555070102214813,300.9720458984375
2022-05-28,28814.900390625,1757.9417724609375,0.4647639989852905,307.8154296875
